Corrente;Resistenza;Tensione;Potenza
0,729675;3978,251709;2,902832;2,118125
1,520157;1874,228394;2,849121;4,331111
2,249832;1212,113037;2,727051;6,135406
2,906540;929,006775;2,700195;7,848226
3,526764;753,861450;2,658691;9,376577
4,110504;643,834473;2,646484;10,878385
4,657761;566,091492;2,636719;12,281205
5,144211;505,916107;2,602539;13,388010
5,569855;461,994476;2,573242;14,332585
5,946854;429,422180;2,553711;15,186545
6,275208;403,450928;2,531738;15,887183
6,554916;382,138031;2,504883;16,419298
6,810303;365,656921;2,490234;16,959249
7,029205;351,838440;2,473145;17,384241
7,223785;339,995514;2,456055;17,742012
7,394043;330,185577;2,441406;18,051863
7,539978;321,852112;2,426758;18,297701
7,661591;315,787384;2,419434;18,536709
7,771042;309,454651;2,404785;18,687687
7,868332;304,697479;2,397461;18,864017
7,953461;300,208344;2,387695;18,990440
8,026428;295,958344;2,375488;19,066687
8,099396;292,689178;2,370605;19,200472
8,160202;289,909821;2,365723;19,304775
8,208847;286,704773;2,353516;19,319651
8,257492;283,833160;2,343750;19,353497
8,293976;281,995911;2,338867;19,398508
8,318298;279,997345;2,329102;19,374161
8,342621;277,717834;2,316895;19,328972
8,366943;276,618713;2,314453;19,364899
8,391266;275,525970;2,312012;19,400705
8,403427;273,965149;2,302246;19,346758
8,427750;272,884796;2,299805;19,382177
8,439911;272,202301;2,297363;19,389542
8,452072;271,521790;2,294922;19,396845
8,464233;270,843262;2,292480;19,404089
8,476395;270,454651;2,292480;19,431969
8,476395;270,166626;2,290039;19,411274
8,476395;270,166626;2,290039;19,411274
8,476395;270,742676;2,294922;19,452663
8,476395;270,742676;2,294922;19,452663
8,476395;270,166626;2,290039;19,411274
8,488556;270,642426;2,297363;19,501297
8,488556;270,930023;2,299805;19,522020
8,488556;270,642426;2,297363;19,501297
8,500717;270,542419;2,299805;19,549990
8,500717;271,116821;2,304688;19,591497
8,500717;271,404022;2,307129;19,612249
8,500717;271,404022;2,307129;19,612249
8,500717;271,978424;2,312012;19,653757
8,500717;272,840027;2,319336;19,716019
8,500717;272,552826;2,316895;19,695265
8,500717;273,701630;2,326660;19,778280
8,500717;274,276031;2,331543;19,819788
8,500717;274,563232;2,333984;19,840542
8,500717;274,850433;2,336426;19,861294
8,500717;275,999237;2,346191;19,944309
8,500717;276,286438;2,348633;19,965063
8,500717;276,573639;2,351074;19,985817
8,500717;278,009644;2,363281;20,089586
8,500717;278,584045;2,368164;20,131092
8,500717;278,584045;2,368164;20,131092
8,500717;279,732819;2,377930;20,214108
8,500717;280,594421;2,385254;20,276369
8,500717;281,168823;2,390137;20,317877
8,512878;281,340729;2,395020;20,388510
8,512878;282,487915;2,404785;20,471643
8,512878;283,348267;2,412109;20,533995
8,512878;283,348267;2,412109;20,533995
8,512878;284,208649;2,419434;20,596344
8,512878;285,355804;2,429199;20,679478
8,512878;285,355804;2,429199;20,679478
8,525040;285,807861;2,436523;20,771460
8,525040;286,380646;2,441406;20,813086
8,525040;286,667023;2,443848;20,833899
8,537201;286,830597;2,448730;20,905304
8,537201;287,974487;2,458496;20,988676
8,537201;288,260468;2,460938;21,009518
8,537201;288,260468;2,460938;21,009518
